date,election,state,seat,ballot_order,name,candidate_uid,party,party_uid,votes,votes_perc,result,area_name,wasIncumbent
2020-09-26,SE-14,Sabah,N.31 Membakut,2,Saat Bin Ag. Damit,21907,PCS,75,526,5.018126311772562,lost_deposit,Membakut,False
2020-09-26,SE-14,Sabah,N.31 Membakut,3,Mohd Arifin Bin Mohd Arif,15842,PN,12,6363,60.70406410990269,won,Membakut,True
2020-09-26,SE-14,Sabah,N.31 Membakut,4,Mohd. Kamaruddin Bin Abd. Hamid,21909,WARISAN,74,2942,28.067162755199387,lost,Membakut,False
2020-09-26,SE-14,Sabah,N.31 Membakut,5,Seniati Bin Abd Ghani,21910,USNO,15,63,0.6010303377218088,lost_deposit,Membakut,False
2020-09-26,SE-14,Sabah,N.32 Klias,1,Abdul Rahman Bin Md Yakub,2848,PKR,11,2810,25.08256716950817,lost,Klias,False
2020-09-26,SE-14,Sabah,N.32 Klias,2,Datuk Isnin Hj.Aliasnih,21912,PN,12,6711,59.903597250736404,won,Klias,True
2020-09-26,SE-14,Sabah,N.32 Klias,3,Jismit Bin Japong,21913,BEBAS,1,86,0.7676515219137731,lost_deposit,Klias,False
2020-09-26,SE-14,Sabah,N.32 Klias,4,Amsir Bin Dani,21914,USNO,15,122,1.0889940194590735,lost_deposit,Klias,False
2020-09-26,SE-14,Sabah,N.32 Klias,5,Abdullah Bin Okin,21915,PCS,75,1419,12.666250111577257,lost,Klias,False
2020-09-26,SE-14,Sabah,N.32 Klias,6,Maksit Bin Saidi,21916,GAGASAN,86,55,0.49093992680532006,lost_deposit,Klias,False
2020-09-26,SE-14,Sabah,N.33 Kuala Penyu,1,Limus Bin Jury,18516,PN,12,6256,49.69417745650965,won,Kuala Penyu,True
2020-09-26,SE-14,Sabah,N.33 Kuala Penyu,2,Parijik @ Fredzex Bin Bagang,21918,GAGASAN,86,84,0.6672491857971244,lost_deposit,Kuala Penyu,False
2020-09-26,SE-14,Sabah,N.33 Kuala Penyu,3,Jepri Bin Mapat,21919,LDP,58,138,1.0961950909524187,lost_deposit,Kuala Penyu,False
2020-09-26,SE-14,Sabah,N.33 Kuala Penyu,4,Mohd Fadzlee Lee Abdullah @ Chun Lee,21920,BEBAS,1,2947,23.409325601715782,lost,Kuala Penyu,False
2020-09-26,SE-14,Sabah,N.33 Kuala Penyu,5,Nelson W. Angang,21921,UPKO,87,2983,23.69528953848598,lost,Kuala Penyu,False
2020-09-26,SE-14,Sabah,N.33 Kuala Penyu,6,Cecilia Jompiuh,21922,PCS,75,181,1.437763126539042,lost_deposit,Kuala Penyu,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,1,Sahlih Bin Sirin,2507,GAGASAN,86,44,0.41650889814464215,lost_deposit,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,2,Kamarlin Bin Ombi,18523,BN,25,3286,31.105641802347595,lost,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,3,Ali Dad Fazal Elahi,21925,USNO,15,254,2.4043922756531617,lost_deposit,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,4,Malik Bin Unsat @ Jahari,21926,PCS,75,231,2.1866717152593718,lost_deposit,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,5,Dayang Aezzy Binti Liman,4327,PHRS,78,59,0.5585005679666794,lost_deposit,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,6,Ruslan Muharam,21928,PBS,48,3650,34.55130632336236,won,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,7,Johari Bin Mohd Dun,21929,PPRS,77,135,1.2779250283983339,lost_deposit,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,8,Mohd Saidi Bin Manan,21930,BEBAS,1,46,0.4354411207875805,lost_deposit,Lumadan,False
2020-09-26,SE-14,Sabah,N.34 Lumadan,9,Ag. Ku Zaidi Bin Pg. Wahab,21931,WARISAN,74,2859,27.063612268080274,lost,Lumadan,False
2020-09-26,SE-14,Sabah,N.35 Sindumin,1,Manshur @ Manshor Bin Okk Mohd Yassin,21932,USNO,15,365,3.2998824699394267,lost_deposit,Sindumin,False
2020-09-26,SE-14,Sabah,N.35 Sindumin,2,Arifin Bin Harith,18450,GAGASAN,86,34,0.30738631226833013,lost_deposit,Sindumin,False
2020-09-26,SE-14,Sabah,N.35 Sindumin,3,Daniel Gaing @ George Daniel,21934,LDP,58,142,1.2837898924147908,lost_deposit,Sindumin,False
2020-09-26,SE-14,Sabah,N.35 Sindumin,4,Datuk Dr Yusof,20188,WARISAN,74,5415,48.955790615676705,won,Sindumin,True
2020-09-26,SE-14,Sabah,N.35 Sindumin,5,Sani Bin Miasin,21936,BN,25,4991,45.12250248621282,lost,Sindumin,False
2020-09-26,SE-14,Sabah,N.35 Sindumin,6,Jaebeh @ Jaybee Bin Buaya @ Buayie,21937,PCS,75,114,1.0306482234879306,lost_deposit,Sindumin,False
2020-09-26,SE-14,Sabah,N.36 Kundasang,1,Jeafry Goh Kautah,21938,LDP,58,293,2.9317590554332598,lost_deposit,Kundasang,False
2020-09-26,SE-14,Sabah,N.36 Kundasang,2,Osman Marajin,21939,GAGASAN,86,75,0.7504502701620973,lost_deposit,Kundasang,False
2020-09-26,SE-14,Sabah,N.36 Kundasang,3,Dr. Joachim Gunsalam,17170,PBS,48,4332,43.346007604562736,won,Kundasang,True
2020-09-26,SE-14,Sabah,N.36 Kundasang,4,Ewon Bin Ebin,5100,PCS,75,2384,23.85431258755253,lost,Kundasang,False
2020-09-26,SE-14,Sabah,N.36 Kundasang,5,Siriman Hj. Basir,21942,WARISAN,74,2910,29.117470482289377,lost,Kundasang,False
2020-09-26,SE-14,Sabah,N.37 Karanaan,1,Hadzrul Masnin,21943,PCS,75,434,4.776579352850539,lost_deposit,Karanaan,False
2020-09-26,SE-14,Sabah,N.37 Karanaan,2,Md Tajuddin Bin Sadi,21944,USNO,15,74,0.814439797490645,lost_deposit,Karanaan,False
2020-09-26,SE-14,Sabah,N.37 Karanaan,3,Awasi Ganie @ Yasin Bin Abdul Ghani,21945,WARISAN,74,1882,20.71318511996478,lost,Karanaan,False
2020-09-26,SE-14,Sabah,N.37 Karanaan,4,Datuk Masidi Bin Manjun @ Masdi,21946,PN,12,6696,73.69579572969404,won,Karanaan,True
2020-09-26,SE-14,Sabah,N.38 Paginatan,1,Jemadi @ Junaidi Bin Sahat,21947,BN,25,2460,23.181304183942704,lost,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,2,Datuk Henrynus Amin,20194,ANAKNEGERI,83,349,3.2887297399170747,lost_deposit,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,3,Abidin Bin Madingkir,21949,PN,12,3783,35.6483226535997,won,Paginatan,True
2020-09-26,SE-14,Sabah,N.38 Paginatan,4,Bensin @ Binsin Bin Dani,21950,GAGASAN,86,52,0.4900113079532605,lost_deposit,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,5,Georgina George,21951,UPKO,87,1245,11.732001507727102,lost_deposit,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,6,Arthur Sen Siong Choo @ Sin Siong Choi,21952,PBS,48,1588,14.964191481341876,lost,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,7,Liong Sun Min @ Sun Min Bin Limatok,21953,LDP,58,118,1.1119487372785526,lost_deposit,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,8,Kamil Bin Kasibun,21954,USNO,15,112,1.0554089709762533,lost_deposit,Paginatan,False
2020-09-26,SE-14,Sabah,N.38 Paginatan,9,Amru Bin Abd Kadir,18542,PCS,75,905,8.528081417263476,lost_deposit,Paginatan,False
2020-09-26,SE-14,Sabah,N.39 Tambunan,1,Silverius Bruno,21956,PBS,48,439,3.7992211163998273,lost_deposit,Tambunan,False
2020-09-26,SE-14,Sabah,N.39 Tambunan,2,Damian Marcus Podtung,21957,PCS,75,326,2.821289485071398,lost_deposit,Tambunan,False
2020-09-26,SE-14,Sabah,N.39 Tambunan,3,Laurentius Nayan Ambu,21958,UPKO,87,1899,16.434443963652097,lost,Tambunan,False
2020-09-26,SE-14,Sabah,N.39 Tambunan,4,Nordin Bin Jaini @ Zaini,21959,GAGASAN,86,140,1.2115967113803547,lost_deposit,Tambunan,False
2020-09-26,SE-14,Sabah,N.39 Tambunan,5,Jimmy Palikat,21960,BEBAS,1,60,0.5192557334487236,lost_deposit,Tambunan,False
2020-09-26,SE-14,Sabah,N.39 Tambunan,6,Datuk Dr. Jeffrey G. Kitingan,17184,PN,12,8691,75.21419299004761,won,Tambunan,True
